Home > Away,Season Start,Label,More Home than Away,HOME V AWAY,Home < Away,Number of Records,Home Attendance,Home Games,Rank,Road Attendance,Road Games,Season,Team,Total Attendance,Total Games
Home,1/1/2010,0,1,50375,,1,753525,41,11,703150,41,2010-11,Ottawa,1456675,82
,1/1/2010,0,0,-7798,Road,1,729628,40,12,737426,41,2010-11,Pittsburgh,1467054,81
Home,1/1/2010,0,1,20504,,1,742432,41,13,721928,41,2010-11,NY Rangers,1464360,82
Home,1/1/2010,0,1,42559,,1,741404,41,14,698845,41,2010-11,Los Angeles,1440249,82
Home,1/1/2010,0,1,62748,,1,720508,40,15,657760,40,2010-11,Minnesota,1378268,80
,1/1/2010,0,0,-11280,Road,1,702600,40,16,713880,40,2010-11,Boston,1416480,80
Home,1/1/2010,0,1,14480,,1,702480,40,17,688000,40,2010-11,San Jose,1390480,80
Home,1/1/2010,0,1,12211,,1,708022,41,18,695811,41,2010-11,Tampa Bay,1403833,82
,1/1/2010,0,0,-9717,Road,1,690399,41,19,700116,41,2010-11,Edmonton,1390515,82
,1/1/2017,0,0,-57803,Road,1,648996,41,24,706799,41,2017-18,Ottawa,1355795,82
,1/1/2010,0,0,-14949,Road,1,656611,40,20,671560,40,2010-11,Carolina,1328171,80
,1/1/2010,0,0,-5906,Road,1,661861,41,21,667767,41,2010-11,Nashville,1329628,82
,1/1/2010,0,0,-52777,Road,1,643116,41,22,695893,41,2010-11,Florida,1339009,82
,1/1/2010,0,0,-72607,Road,1,617997,41,23,690604,41,2010-11,Dallas,1308601,82
,1/1/2010,0,0,-94311,Road,1,607650,41,24,701961,41,2010-11,Colorado,1309611,82
,1/1/2010,0,0,-123546,Road,1,605803,41,25,729349,41,2010-11,New Jersey,1335152,82
,1/1/2010,0,0,-96366,Road,1,604283,41,26,700649,41,2010-11,Anaheim,1304932,82
,1/1/2010,0,0,-120530,Road,1,546350,40,27,666880,40,2010-11,Columbus,1213230,80
,1/1/2010,0,0,-131691,Road,1,552230,41,28,683921,41,2010-11,Winnipeg,1236151,82
,1/1/2010,0,0,-181217,Road,1,487543,40,29,668760,40,2010-11,Arizona,1156303,80
