Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.759,,Brain and nervous system,females,females,1,White,0.241,1977
0.756,,Brain and nervous system,females,females,1,White,0.244,1980
0.754,,Brain and nervous system,females,females,1,White,0.246,1983
0.722,,Brain and nervous system,females,females,1,White,0.278,1986
0.692,,Brain and nervous system,females,females,1,White,0.308,1989
0.711,,Brain and nervous system,females,females,1,White,0.289,1992
0.697,,Brain and nervous system,females,females,1,White,0.303,1995
0.69,,Brain and nervous system,females,females,1,White,0.31,1998
0.635,,Brain and nervous system,females,females,1,White,0.365,2001
0.66,,Brain and nervous system,females,females,1,White,0.34,2006
0.65,0.35,Brain and nervous system,females,females,1,White,0.35,2013
0.84,,Brain and nervous system,males,males,1,White,0.16,1963
0.82,,Brain and nervous system,males,males,1,White,0.18,1973
0.798,,Brain and nervous system,males,males,1,White,0.202,1977
0.78,,Brain and nervous system,males,males,1,White,0.22,1980
0.776,,Brain and nervous system,males,males,1,White,0.224,1983
0.752,,Brain and nervous system,males,males,1,White,0.248,1986
0.737,,Brain and nervous system,males,males,1,White,0.263,1989
0.706,,Brain and nervous system,males,males,1,White,0.294,1992
0.687,,Brain and nervous system,males,males,1,White,0.313,1995
0.699,,Brain and nervous system,males,males,1,White,0.301,1998
0.696,,Brain and nervous system,males,males,1,White,0.304,2001
0.661,,Brain and nervous system,males,males,1,White,0.339,2006
0.678,0.322,Brain and nervous system,males,males,1,White,0.322,2013
0.82,,Brain and nervous system,total,total,1,White,0.18,1963
0.8,,Brain and nervous system,total,total,1,White,0.2,1973
0.781,,Brain and nervous system,total,total,1,White,0.219,1977
0.77,,Brain and nervous system,total,total,1,White,0.23,1980
0.766,,Brain and nervous system,total,total,1,White,0.234,1983
0.739,,Brain and nervous system,total,total,1,White,0.261,1986
0.717,,Brain and nervous system,total,total,1,White,0.283,1989
0.708,,Brain and nervous system,total,total,1,White,0.292,1992
0.691,,Brain and nervous system,total,total,1,White,0.309,1995
0.695,,Brain and nervous system,total,total,1,White,0.305,1998
0.67,,Brain and nervous system,total,total,1,White,0.33,2001
0.661,,Brain and nervous system,total,total,1,White,0.339,2006
0.666,0.334,Brain and nervous system,total,total,1,White,0.334,2013
0.252,,Breast,females,females,1,All races,0.748,1977
0.256,,Breast,females,females,1,All races,0.744,1980
0.239,,Breast,females,females,1,All races,0.761,1983
0.211,,Breast,females,females,1,All races,0.789,1986
0.16,,Breast,females,females,1,All races,0.84,1989
0.148,,Breast,females,females,1,All races,0.852,1992
0.136,,Breast,females,females,1,All races,0.864,1995
0.118,,Breast,females,females,1,All races,0.882,1998
0.103,,Breast,females,females,1,All races,0.897,2001
0.098,,Breast,females,females,1,All races,0.902,2006
0.089,0.911,Breast,females,females,1,All races,0.911,2013
0.252,,Breast,total,total,1,All races,0.748,1977
0.256,,Breast,total,total,1,All races,0.744,1980
0.239,,Breast,total,total,1,All races,0.761,1983
0.211,,Breast,total,total,1,All races,0.789,1986
0.16,,Breast,total,total,1,All races,0.84,1989
0.148,,Breast,total,total,1,All races,0.852,1992
0.136,,Breast,total,total,1,All races,0.864,1995
0.118,,Breast,total,total,1,All races,0.882,1998
0.103,,Breast,total,total,1,All races,0.897,2001
0.098,,Breast,total,total,1,All races,0.902,2006
0.089,0.911,Breast,total,total,1,All races,0.911,2013
0.54,,Breast,females,females,1,Black,0.46,1963
0.49,,Breast,females,females,1,Black,0.51,1973
0.378,,Breast,females,females,1,Black,0.622,1977
0.366,,Breast,females,females,1,Black,0.634,1980
0.366,,Breast,females,females,1,Black,0.634,1983
0.349,,Breast,females,females,1,Black,0.651,1986
0.289,,Breast,females,females,1,Black,0.711,1989
0.285,,Breast,females,females,1,Black,0.715,1992
0.273,,Breast,females,females,1,Black,0.727,1995
0.238,,Breast,females,females,1,Black,0.762,1998
0.211,,Breast,females,females,1,Black,0.789,2001
0.221,,Breast,females,females,1,Black,0.779,2006
0.173,0.827,Breast,females,females,1,Black,0.827,2013
0.54,,Breast,total,total,1,Black,0.46,1963
0.49,,Breast,total,total,1,Black,0.51,1973
0.378,,Breast,total,total,1,Black,0.622,1977
0.366,,Breast,total,total,1,Black,0.634,1980
0.366,,Breast,total,total,1,Black,0.634,1983
0.349,,Breast,total,total,1,Black,0.651,1986
0.289,,Breast,total,total,1,Black,0.711,1989
0.285,,Breast,total,total,1,Black,0.715,1992
0.273,,Breast,total,total,1,Black,0.727,1995
0.238,,Breast,total,total,1,Black,0.762,1998
